iter	Passed	Remaining
351	1953	3595
352	1958	3589
353	1964	3584
354	1969	3578
355	1975	3572
356	1980	3567
357	1986	3561
358	1991	3556
359	1998	3552
360	2004	3547
361	2010	3543
362	2016	3539
363	2023	3534
364	2029	3530
365	2035	3526
366	2041	3521
367	2048	3517
368	2054	3512
369	2060	3508
370	2066	3504
371	2073	3499
372	2079	3495
373	2085	3490
374	2091	3486
375	2097	3481
376	2104	3477
377	2110	3472
378	2116	3468
379	2122	3463
380	2128	3458
381	2135	3454
382	2141	3449
383	2147	3444
384	2153	3440
385	2159	3435
386	2166	3431
387	2172	3426
388	2178	3421
389	2184	3417
390	2191	3412
391	2197	3407
392	2203	3403
393	2209	3398
394	2215	3393
395	2222	3389
396	2228	3384
397	2234	3379
398	2240	3375
399	2246	3370
400	2253	3365
401	2259	3361
402	2265	3356
403	2271	3351
404	2278	3346
405	2284	3341
406	2290	3337
407	2296	3332
408	2303	3327
409	2309	3323
410	2315	3318
411	2321	3313
412	2326	3307
413	2332	3300
414	2338	3296
415	2343	3290
416	2349	3284
417	2355	3279
418	2361	3273
419	2366	3268
